ahkit	ikävä
albma	kunnon, oikea
aldi	päällä
alit	sininen
allergiija	allergia
almmái	mies
ambulánsa	ambulanssi
ammanu	eikö niin, jooko
astat	ehtiä, joutaa
atnit váivin	pitää ikävänä
attášitgo	antaisitko
arvi	sade
áicat	huomata, nähdä
áidna	ainoa
áigedávval	aikataulu
áigge gollu	ajankulu
áigi	aika
áigut	aikoa
álggos	alussa
álgit	alkaa
állat	pulmunen
árgi	arka
árvalit	arvella
ássat	asua
ávnnas	aine
badjeolmmoš	poromies
bađuš	pyrstö
báhcit	jäädä
báhkka	paketti, pakka
baicce	sitä vastoin
ballu	pelko
bargu	työ
bassat	pestä
báidnit	värjätä
bálggis	polku
bálggus	paliskunta
bálvá	palvelija
báŋku	pankki
bávččas	kipu
bealguovttenuppelogis	puoli kahdeltatoista
beaški	paukkuva
beassat	päästä
beavdi	pöytä
besset	pesiä
beštor	västäräkki
biergu	liha
binná	vähän
birra	ympäri, ympärillä
birrasii	tienoilla, noin
birrasis	ympärilleen
bisánit	pysähtyä
bivdit	pyytää
boahtit	tulla
boaru	paarma
boazobeana	porokoira
bohccočoarvi	poronsarvi
bokti	kautta
borranlustu	ruokahalu
borrat	syödä
bovdet	kutsua
buktit	tuoda
buolaš	pakkanen
buoremus	paras
buot	kaikki
buozus	sairas, sairaana
bures boahtin	terve tuloa
busir	pusero
bussá	kissa
cieládit	haukahtaa
ciellat	haukkua (koirasta)
cuoppu	sammakko
čaibmat	nauraa
čakčat	syksyllä
čáhppat	musta
čájehit	näyttää
čákŋalit	astua
čalbmi	silmä
čállit	kirjoittaa
čáppis	kaunis
čeahci	isän nuorempi veli, setä
čeahppi	taitava, etevä
čiehkádit	piiloutua
čierrut	itkeä
čikŋa	koriste
čoahkis	kasassa, yhdessä paikassa
čoahkkin	kokous
čoarvenjunni	sarvikuono
čoavjedávda	vatsatauti
čohkkát	istua
čora	parttio, porotokka
čuččodit	seisoskella
čugget	pistää
čuoggut	pistellä
čuogus	latkittava, liemi
čuohkat	latkia
čuohppat	leikata
čuoika	sääski
čuojihit	kilahtaa
čuorvut	huutaa
čuožžut	seistä, seisoa
čuru	kärpänen
dadjat	sanoa
dahkat	tehdä, laittaa
dáidá	taitaa
daihe	taikka
dahje	taikka
daikke	taikka
dakko gokko	siitä mistä, siinä missä
dákti	luu
dálán	nyt heti, heti
dálge	nytkin
dálki	sää, ilma
dálkkas	lääke
dalle	sitten, silloin
dallehan	silloinhan
dalle	silloin
dallenai	silloinkin
dallege	silloinkin
dasnai	siinäkin, silläkin
dasge	siinäkin, silläkin
dasto	sitten
dállu	talo
dan botta go	sillä aikaa kun
dan sivas	siitä syystä
dasa	siihen
dáppe	täällä
dárbbašit	tarvita
dárbbašivččen	tarvitsisin
dárkilit	tarkasti
dás	tässä, tästä
dávjá	usein
deadja	tee
deaivvadit	tavata
dearvan	terveenä
dearvvahallat	tervehtiä
deike	tänne
deikke	tänne
diehko	sinne
diehtti	tietäjä
diekko	siinä
dieppe	siellä
dihtii	vuoksi
dikšut	hoitaa
dilli	olotila, tila
diŋgot	tilata
divri	hyönteinen
doaimmahat	toimisto
doallat	pitää
doapmat	kiiruhtaa
doarvái	tarpeeksi
doavttir	lääkäri
dohko	sinne
dohppet	napata
doidit	huuhtoa
dolastallat	tulistella, polttaa nuotiota
dolkat	kyllästyä
dovdat	tuntea
duhkoraddanskibir	leikkikaveri
duhkoras	lelu, leikkikalu
duhtat	tyytyä
duođaige	todellakaan, tosiaankaan
duohta	totta, tosi
duolvvas	likainen
duostat	uskaltaa
duottar	tunturi
dušše	vain, ainoastaan
dutkat	tutkia
dutnje	sinulle
duvle	äskettäin, taannoin
eahkedis	illalla
eahketbeaivi	iltapäivä
eahki	isän vanhempi veli, setä
eaidat	etääntyä
ealán	voin
ealát	voit
ealga	hirvi
ealli	eläin
eallu	(poro) elo
ealus	eloansa
eambbo	enemmän
eanet	enemmän
eanu	eno
eará	muu, eri
eará	muuta
earáge	muutakin
ein=ain	yhä
elefánta	elefantti
erenoamážiid	erityistä
farga	pian
fargga	pian
fas	taas, jälleen, puolestaan
fáippastit	huitaista
fális	valas
fállat	tarjota
fárus	mukana
fástavuorru	vakiovuoro
feaskkir	eteinen
feber	kuume
figgat	yrittää, pyrkiä
fillet	juksata, huijata
fiskat	keltainen
fitnat	käydä
fuolas	huolissaan
fuolki	sukulainen
fuolla	huoli
fuotni	huono
gaccet	talitiainen
galbarihcci	kilpikonna
gale=gal	kyllä
galgat	täytyä, pitää
galggašii	pitäisi
galhan	kyllähän
galli áigge	mihin aikaan, monenko aikaan
gámmár	kamari, makuuhuone
garjá	varis
gáddi	ranta
gáffegohppa	kahvikuppi
gáhkku	kakku
gákti	lapinpuku
gártat	koitua, joutua, päätyä
gártat	joutua
gáskkii	puri
gávdnat	löytää
gavja	pöly
gávnnai	löysi
geahčastit	vilkaista, katsoa vähän, katsoa hetken
geahččat	katsoa
geahnoheabbu	heikompi
geahnohet	heikompia
geargat	ehtiä, keretä
gearpmaš	käärme
geavahit	käyttää
geažes	päästä (ajan määre)
geiget	ojentaa
gielká	kelkka
giellavealgu	sinirinta, satakieli
gievkkan	keittiö
gilli	kylä
girjehildu	kirjahylly
girji	kirja
gitta	aina (johonkin asti)
goallut	palella
goappat	kumpikin
goarrut	ommella
goaski	äidin vanhempi sisar, täti
goaskin	kotka
gohččut	käskeä
goittotge	kuitenkaan
gokko	mistä, mistä kohtaa
gollat	kulua
goppás	koppakuoriainen
gosage	mihinkään
got	miten, kuinka
govvabláđđi	kuvalehti
guhká	kauan
guhkki	pitkä
guhkkin	pitkällä, kaukana
guhkkin	kaukana
gulai	kuuli
gullamii	kuulemiin
gullamiidda	kuulemisiin
guoibmi	kumppani
guoras	äärellä, ääreltä, ääressä,äärestä
guorus	tyhjä
guossi	vieras
guovlalit	kurkistaa
guovttá	kahden, kahdestaan
haddi	hinta
haŋŋá	alli
háleštit	jutella
hállat	puhua
heavdni	hämähäkki
hirbmadit	kovasti, kovin
hirbmat	hirveän, kovin
hivsset	vessa
hoahppu	kiire
hoahpus	nopeasti, pian
hoavrristit	hourata, hourailla
huhttát	kyyröttää, kököttää
iđđes	aamulla
ieš	itse
iešvuohta	ominaisuus
imaštallat	ihmetellä
irgi	sulhanen
isit	isäntä
ivdnái	värikäs
jáhkka	takki
jáhkkit	uskoa
jápmit	kuolla
jávkkihit	livahtaa
