ain	yhä
ainge	yhäkin
aldi	päällä
allat	korkea
Anár	Inari
Anáris	Inarissa
áibbas	aivan, ihan
áibbas bures	aivan hyvin
áigge	aikaan
áiggon	aion
áiggot	aiot
álget	alkavat
áŋgirit	ankarasti
ásat	asut
ássat	asua
ášši	asia
áššiid	asioita
áviisa	(sanoma)lehti
badjel	yli
bahálaš	pahus
báhka	paketin, pakettia
báiddi	paitaa, paidan
banánat	banaanit
báŋkui	pankkiin
bardá	latoo
bealdi	puolella
beana	koira
beare	vain
beavddis	pöydässä
bigálusat	poroerotukset
biilii	autoon
bija	pane
bijan	panen
Biret-Iŋgái	Birit-Ingalle
Biret-Iŋggás	Birit-Ingalta, Ingalla
boađán	tulen
boahtala	pulloa
boahtit	tulla
boradit	syödä, syömään
borranbeavddis	ruokapöydässä
borrat	syödä, syömään
buđet	peruna
bullá	pulla, pullaa
buori	hyvää
buorit dábit	hyvät tavat
busse	pussia, pussin
coggá	työntää, tunkee
čakča	syys, syksy
čáles	kirjoitas
čális	kirjoita(pas)
čállá	kirjoittaa
čáppa	kaunis
čiegas	nurkassa
čoaggá	kerää
čohkána	istahtaa, istuu
čohkkába	istuvat (kahdesta)
dahje	taikka
dahká	tekee (maksusta)
dahkat	tehdä
dahkat dearvvuođaid	sanoa hyvästit
dahke	teemme (kahdesta)
dalle	sitten, silloin
dan	sen, sitä
dasa	siihen, tässä:siitä
dasto	sitten
dábálaš	tavallinen
dákkár	tällainen
dál	nyt
dánsut	tanssimaan, tanssia
dáppe	täällä, täältä
dárbbašan	tarvitsen
dárki	tarkka
dás	tässä
de	kyllä, myös: sitten
deaivvadit	tavata
dearvvahan	tervehdys
deavddát	täytät
dieđusge	tietenkin
dieidda	niistä, niihin
dien	siinä
dien hildus	siinä hyllyssä
dieppe	siellä
dies	siinä
dihtora	tietokonetta
diibmu	kello
dikšut	hoidamme
dis	teillä
diskii	tiskiin, tiskille
divrras	kallis
doaimmahit	toimittaa, toimittamaan
doamiha	kiirehtii
doarvái	tarpeeksi
doid	noita (pron.)
don	sinä
don (hildus)	tuolla (hyllyssä)
doppe	siellä
duođai	todella, tosiaan
dus	sinulla
dutnje	sinulle
eahkedis	illalla 
eai	eivät (mon. 3. pers. kieltosana)
eai lean	eivät olleet
eai leat	eivät ole
earráneapmi	eroaminen
easkka	vasta
fálaldagas	tarjouksessa
farga	pian
fargga	pian
fas	taas
ferte	täytyy
fitnat	käydä, käymään
fitne	käymme (kahdesta)
fuomáša	huomaa
fuotni	huono
gáddit	luulla, luulemaan
gáfestallamin	kahvilla
gáfestallat	kahvistella, kahville,
gáffestohpui	kahvilaan
gal	kyllä
galli áigge	(mihin) monenko aikaan
gálvvuid	tavaroita, tavaroiden
gándan	poikana, pojaksi
garas	kova
garraláibbi	näkkileipää, -leivän
gávcci	kahdeksan
gávpái	kauppaan
geahččá	katsoo
geardeviesus	kerrostalossa
geargat	ehtiä, ehtimään
geasanu	jollekin
geavahit	käyttää, käyttämään
geige	ojentaa
gieđaid	käsiä, käsien
gihli	kihla
gii	kuka
giitu	kiitos
goarttat	kortit
goas	milloin, koska
gorii	koriin, korille
gos	missä
gosabat	mihinkä, minnekä
gudnin	kunniaksi
guktuide	molempiin, molemmille
gullo	kuuluu
guovlá	kurkkii
guovttos	kaksikko
gurut	vasen
gusto	näköjään, näemmä
guvttiin euroin	kahdella eurolla
hálbbit	halvat
hálbi	halpa
hálbin	halvaksi, halpana
hálida	haluaa
hálidagoson	haluaakohan
hálidat	haluat
hattiiguin	hintojen kanssa
heive	sopii
hilduide	hyllyihin, hyllyille
hirbmat	hirveä(n)
hoahpumus	nopein
hoigá	työntää
ieš	itse
iežan	omasta(ni), omalta(ni)
iežas	omalle(nsa)
iežas birra	itsestään
iežat	oma(si)
ii	ei
ii daga maidige	ei haittaa mitään
ii diehtán	ei tiennyt
ii fal	ei missään tapauksessa
ii leat	ei ole
ii loga	ei lue
ii	ei, ei
iiba	eipä
iigo	eikö
in leat	en ole 
in liiko	en pidä
in váldde	en ota
Iŋggáin	Ingan kanssa
it árvit	et arvaa
jearahallá	kyselee
jearrá	kysyy
jearrat	kysyä
juogo	joko
kássa	kassa
kilo	kilo, kilon, kiloa
kioskii	kioskiin, kioskille
kontus	tililtä, tilillä
lagaš	läheinen
lági mielde	mahdollinen tapa
láigu	vuokra
lasi	lisää
láve	ole tapana
lávet	olla tapana
lávvardaga	lauantaina
lea	on
lea čállán	on kirjoittanut
lea gohččon	on käskenyt
lea muohttán	on satanut lunta
leaba	ovat (kahdesta)
leage buorre	ole hyvä
leago	onko
lean	olen
lean gávdnan	olen löytänyt
leat	olet
leat gullan	olet kuullut
leat nohkan	ovat loppuneet
leat vajálduvvan	ovat unohtuneet
ledje	olivat
lei	oli
lei oahppan	oli oppinut
lihkku lehkos	onneksi olkoon
lihtti	astia
liiko	pitää jstkin (hän)
liikon	pidän
limonáda	limonaadi
listtu	listaa, listan
listtuide	listoihin, listoille
logi	kymmenen, kymmentä
lohká	sanoo (myös:lukee)
lohkamin	lukemassa, opiskelemassa
loktet	nostaa
luhtti	luona
Luŋke	Luŋke (koiran nimi)
lupmaide	taskuihin
lupmas	taskussa, taskusta. taskulla, taskulta
lusa	luokse
Máhtes	Matilta, Matissa, Matilta, Matilla
Máhtiin	Mattia, Matin kanssa
maid	mitä
maid	myös
maiddái	myös(kin)
mákset	maksavat
máksit	maksaa, maksamaan
manná	menee
mannat	mennä, menemään
mánnávuođa	lapsuuden
manne	menemme (kahdesta)
maŋŋá	jälkeen
maŋŋonan	myöhästyn
márffi	makkaraa
masá	melkein
mávssátgo	maksatko
mearrebeaivve	määräpäivänä
mielkki	maitoa, maidon
mihkkige	mikään
mii	mikä
mii eará	mitä muuta, mikä muu
minuhta	minuuttia, minuutin
mis	meillä
mo	miten
moadde	pari
moai	me kaksi
mu	minun, minua
muđui	muuten
muhto	mutta
muhtumin	joskus
muhtun	joku, jokin
muitalit	kertoa
muitu	muisti
mun	minä
munnje	minulle
muoŧŧá	täti
ná	näin
ná	no
ná buorre	no hyvä
naba	entäpä
nama	nimen, nimeä
namma	nimi
nealgi	nälkä
nieiddain	tyttöön (tytön kanssa)
njálggis	hyvänmakuinen
nu	niin
nuorra	nuori
nuppiid	toisia
oaččungo	saanko
oaččut	saat
oahpásmuvvan	tutustuminen
oaidnaleapmái	näkemiin
oaidnaletne	nähdään, näemme toisemme (kahdesta)
oastán	ostanut
oktii	kerran
oktiibuot	yhteensä
olgeš	oikea (suunnasta)
olggobealdi	ulkopuolella
ollu giitu	paljon kiitoksia
ollugo	paljonko
orrut	asua, tuntua, olla
orut	asut
otná beaivve	tämän päivän, tänä päivänä
otne	tänään
otne	tänään
ovddas	edestä
ovtta	yhden, yhtä
pláhtat	levyt
postii	postiin
ráidodálus	rivitalossa
rásiid	kukkia, kukkien
rásit	kukat
rehkega	laskua, laskun
riegádanbeaivvi	syntymäpäivän, -päivää
roggá	kaivaa
ruđa	rahaa
ruoktot	kotiin
Ruoŧŧa	Ruotsi
ruovttus	kodissa, kotona
šaddanbeaivi	syntymäpäivä
šaddanbeaivvi	syntymäpäivää	-päivän
sáddii	lähetti (pret.)
ságaid	kuulumisia, asioita, juttuja
sáhttá	saattaa
sáhtte	voimme (kahdesta)
sáhttego	voimmeko(kahdesta)
sakka	kovasti
šat	enää
sávaldagat	toivotuksia, toivotukse
sávtta	mehua
sávvá	toivottaa (yks.3.p.)
seammá	samoin
seammás	samalla, samassa
skihpárii	kaverille
smáhkuid	lastuja
smiehtai	mietti (pret.)
smiehttá	miettii
smiehttan	miettinyt
soahpan	sopineet
soai leaba	he 2 ovat
sohkar	sokeri
sohkkara	sokeria, sokerin
spoahkuha	näppäilee
suitá	pystyy (rahallisesti)
šukkuláda	suklaa
suohtas	hauska
sutnje	hänelle
universitehtas	yliopistossa
váddát	vaikeat
vaikke	vaikka
vaikko	vaikka
váili	vaille
válddátgo	otatko
varas	tuore, tuoretta
várra	varmaan(kin)
vázzá	kävelee
vel	vielä
velgo	vieläkö
vienera	viinerin, viineriä
viessu	asunto
viežžat	hakea, hakemaan
vihtta	viisi
vilppasta	vilkaisee
virgeolmmoš	virkailija
vulge	lähdemme (kahdesta)
vuodjaláibbi	voileipää, voileivän
vuos dál	ensin nyt
