* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
* Funky input line provsta	rovasti		XXX
* Funky input line roašmẹvihki ˈspitaaliˈ XXX
ábbasit	ruveta kiehumaan yli	V	+?
ábbudit	aiheuttaa ylikiehuminen	V	+?
abessiiva	abessiivi	N	N
ábiruvvá	merenneito	N	N
ablatiiva	ablatiivi	N	N
abohtta	apotti	N	N
abskissa	abskissa	N	N
abstrákta	abstrakti	A	A
ađahuvvat	laihtua (kovasti)	V	+?
áđat	parempi	A	A
addáladdat	anniskella& jaella& läksyttää& anniskella& jaella& läksyttää& anniskella& jaella& läksyttää	V	+?
addálas	antelias	A	A
áddehahtti	ymmärrettävä	A	A
áddehallan	(keskinäinen) ymmärrys	N	+?
áddehallat	ymmärtää toisiaan& tulla ymmärretyksi& ymmärtää toisiaan& tulla ymmärretyksi	V	+?
áddemeahttun	ymmärtämätön	A	+?
ádden	ymmärrys	N	N
addes	antelias	+?	A
áđđet	matkia	V	V
addi	antava& antaja& antava& antaja	A|N	+?
addi	antelias	A|N	A
addilit	antaa (kohteliaassa pyynnössä)& antaa (nopeasti)& antaa (kohteliaassa pyynnössä)& antaa (nopeasti)	V	+?
addjohit	saada tai päästää peittymään lumeen	V	+?
addjot	peittyä lumeen	V	+?
áddjut	lapsen(lapsen)lapsi (isoisälle tai isoisän isälle)	N	+?
ádelastit	aateloida	V	V
ádel	aateli	N	N
adjektiiva	adjektiivi	N	N
administrašuvdna	hallinto	N	N
admirála	admiraali	N	+?
adni	käytteliäs	A|N	+?
adnostit	tulla vähän käytetyksi& kulua loppuun& tulla vähän käytetyksi& kulua loppuun	V	+?
adopteret	adoptoida	V	V
adresseret	osoittaa	V	V
adveanta	adventti	N	N
advearba	adverbi	N	N
advokáhta	asianajaja	N	N
Afrihká	Afrikka	N	N
agáiduvvat	ikääntyä	V	V
agálaččat	ikuisesti	Adv	Adv
agás	iäksi	Adv	Adv
ággadit	kieltäytyä (tekosyyllä)	V	+?
agibeailáibi	elinikäinen elanto	N	+?
agibeaimuitu	elinikäinen muisto	N	+?
agibeaisuola	parantumaton varas	N	+?
agibeaivašši	leppymätön viha	N	+?
áhcagahttit	hehkuttaa	V	V
áhcagastit	hehkua& hehkuttaa& hehkua& hehkuttaa	V	+?
áhcahit	hitsata	V	V
áhčálaš	isällinen	+?	A
áhčešeatni	syöjätär (saduissa)& kiitäjäinen (hyönteinen)& syöjätär (saduissa)& kiitäjäinen (hyönteinen)	N	+?
áhčeš	isänsä kanssa	Adv	+?
áhkábiddu	(iso)simppu	N	+?
áhkacincu	rasvakala	N	N
ahkáduvvat	viipyä (pitkään)	V	+?
ahkahaš	ikäinen	A	A
áhkalakkis	hai (erit. holkeri)	N	+?
áhkáš	áhkášguovttos: vaimo miehensä kanssa	Adv	+?
ahkásii	iäksi	Adv	Adv
ahkiduššat	ikävöidä& pitkästyä& ikävöidä& pitkästyä	V	+?
ahkitvuohta	ikävyys	N	N
áhkká	vaimo& eukko& vaimo& eukko	N	+?
áhkkut	lapsen(lapsen)lapsi (isoäidille tai isoäidin äidille)	N	+?
áhkoš	áhkošguovttos: isoäiti lapsenlapsensa kanssa	Adv|N	+?
áhpásmahttojupmi	virvoitus	N	N
áhpásmit	virkistyä	+?	V
áhpebiegga	merituuli	N	N
áhpedovtta	jääkuikka	N	+?
áhpeguolli	syvänmerenkala	N	N
áhpeheapme	raskaana oleva& voimaton& raskaana oleva& voimaton	A	+?
áhpenjuorjju	partahylje	N	+?
áhppa	apina	N	N
áhppar	silkka	A	A
áhttán	jää (vuonossa)	N	+?
áibat	jäädä (pois)& viivästyä& jäädä (pois)& viivästyä	V	+?
áibmat	hallita (kuljetettavia poroja)	V	+?
áiccan	aistin	N	N
áicil	tarkka (aisteiltaan)	A	+?
áiddis	aidas	N	N
aiddolaš	täsmällinen	A	A
aiddonassii	varsinaisesti	Adv	Adv
aiddostahttit	täsmentää	V	V
aiddostassii	varsinaisesti	Adv	Adv
áiddostit	aidata vähän	V	+?
áidnaváldu	(poro)tokan suurin hirvas (erit. rykimäaikana)	N	+?
áidnet	sataa ohuelti lunta	V	+?
áidnoriegádan	ainokainen (lapsesta)	A	+?
áidnu	ainoa	A	A
áiduladdat	aidata useampia paikkoja nopeasti	V	+?
áidut	aidata	V	V
áigadas	ammoinen	A	A
áigejorggáldat	päivänseisaus	N	N
aiget	räkättää	V	V
áigga	aikomus	N	N
áiggeádji	harrastus	N	N
áiggeájáhus	ajanviete	N	+?
áiggebále	ajoissa	Adv	Adv
áimmuhisvuohta	ilmattomuus	N	+?
áinnádastit	sataa lunta (ohuelti)	V	+?
áinnádat	uusi lumi (tällaisella säällä on helppo nähdä jälkiä)	N	+?
áinnuhaš	ainokainen	N	A& N
áinnut	ainokainen	N	A& N
áiru	airo	N	N
áitáladdat	uhkailla (kovasti)	V	+?
áitálas	uhkaileva(inen)	+?	+?
aivvefal	pelkästään	Adv	Adv& Pcle
ájáhus	viivytys& (R) ajatus& viivytys& (R) ajatus	N	+?
ájanas	ajanviete	N	+?
ájasámil	vesisammal (poron ruokaa keväällä)	N	+?
ajihustit	torkahtaa (hetken)	V	+?
akademalaš	akateeminen	A	A
akademihkar	akateemikko	N	N
ákkastit	perustella	V	V
ákkilveaksi	rintaevä	N	N
akkusatiiva	akkusatiivi	N	N
áksi	otsaluu (porolla)	N	+?
ákšodearri	kirveenterä	N	N
ákšonađđa	kirvesvarsi	N	N
ákšoskuohppu	kirveentuppi	N	+?
akšuvdna	liike (aktio)	N	+?
ákta	näytös	N	N
akustihkalaš	akustinen	+?	A
akustihkka	akustiikka	N	N
aládas	koroke	N	+?
Albánia	Albania	N	N
albmadit	ilmiantaa	V	V
albmaduvvat	ilmaantua	V	V
albmáimannan	taivaaseenastuminen	N	N
albmanit	ilmetä	V	V
albmasuoigi	ruumiinvamma& turma& ruumiinvamma& turma	N	+?
albmeassi	taivaankansi	N	N
álbmotlaš	kansallinen	A	A
álbmotlašvuohta	kansallisuus	N	N
albmudit	ilmestyä (näkyviin)	V	+?
alccesan	itselleni	+?	+?
álddagastit	salamoida	V	V
alddán	itselläni	+?	+?
álddis	allas	N	+?
aldna	ien	N	+?
áldodat	vaatimennahka	N	+?
áldoeallu	vaadintokka (keväällä)	N	+?
álelassii	ainaisesti	Adv	+?
ales	alẹs duon moaddẹ: noiden parin tähden ei kannata vaivautua& alẹs goit diet dávvir: voi sentään tuota esinettä& alẹs duon moaddẹ: noiden parin tähden ei kannata vaivautua& alẹs goit diet dávvir: voi sentään tuota esinettä	Adv	+?
alesgahcin	takakaihdin (sarvessa)	N	+?
alfabehtalaš	aakkosellinen	A	A
alfabehta	aakkoset	N	+?
álgga	aloite	N	+?
álggahus	aloitus& johdanto& aloitus& johdanto	N	+?
álggalaš	alkeellinen	+?	A
álggolaš	alkeellinen	+?	A
algoritma	algoritmi	N	N
áli	aina	Adv	Adv& Pcle
alimahtes	lanteilla	Adv	+?
alimas	lanteilla	+?	+?
alitrássi	(metsä)kurjenpolvi	N	+?
álkivuohta	helppous	N	N
alkohola	alkoholi	N	N
alkoholisma	alkoholismi	N	N
alkoholista	alkoholisti	N	N
alladávttálaš	romuluinen	A	A
alladávttat	romuluinen	A	A
allagit	korkeasti	Adv	Adv
allalávlla	korkea veisu	N	+?
allamielalašvuohta	ylimielisyys	N	N
allamielalaš	ylimielinen	A	A
állanaddat	kallistella	V	V
allánaddat	kohoilla	V	V
állanastit	mitata (kyynärmitalla)	V	+?
állan	kyynärä	N	N
allatiiva	allatiivi	N	N
állát	olla kallellaan	V	+?
allatvuohta	korkeus	N	N
allii	hänelle	+?	+?
álli	älkää (du.)	N	+?
allodat	korkeus	N	N
állohallat	kallistella (esim. päätään)	V	+?
allosaš	korkuinen	A	A
alloset	älkööt (pl.)	+?	+?
alloska	älkööt (du.)	+?	+?
allos	älköön	+?	+?
allu	älkäämme (du.)	+?	+?
almmaiduvvat	ilmaantua	V	V
almmáiduvvat	miehistyä	V	V
almmáilaš	miehekäs	A	+?
almmá	ilman	Adv	Adv& Po
almmálaš	taivaallinen	A	A
almmáskit	tulla (kova) lumisade	V	+?
almmenáhkki	almanakka	N	N
almmiriika	taivaanvaltakunta	N	+?
almmivierca	taivaanvuohi	N	N
almmuhus	ilmoitus	N	N
almmustastit	tuoda julki (kiireesti)	V	+?
álohii	aina	Adv	Adv& Pcle
altteson	kunpa	Adv	CC
alumiidna	alumiini	N	N
álvi	ahjo	N	N
álvu	saalis	N	N
alvvalaš	tarmokas	A	+?
aman	etten	+?	CC
amasmit	tulla oudo(mma)ksi	+?	+?
amastit	vierastaa	V	V
amiidit	maistua (herkulliselta)	V	+?
ampera	ampeeri	N	N
analogiija	analogia	N	N
Anár	Inari	N	N
anatomiija	anatomia	N	N
ándagassii	anteeksi	Adv	Pcle
anekeahttá	anẹkeahtẹs: käyttämätön	+?	+?
anemiija	anemia	N	N
áŋggašit	kaivata (kovasti)	V	+?
áŋggaštit	kaivata (kovasti)	V	+?
áŋgiruššat	uurastaa& intoilla& uurastaa& intoilla	V	+?
áŋkorastit	ankkuroida	V	V
anihahttit	saattaa käytettäväksi& olla käyttökelpoinen& saattaa käytettäväksi& olla käyttökelpoinen	V	+?
anistuddat	osoittaa haluavansa (useasti)	V	+?
anistuhkes	halukas (käyttämään)& himokas& halukas (käyttämään)& himokas	A	+?
annes	annas	Adv	+?
ánodit	pyytää anteeksi toisiltaan (erit. syntejä)	V	+?
ánsikta	kasvot	N	N
ánssášit	ansaita	V	V
ánssáškeahttá	ánssáškeahtẹs: ansaitsematon	+?	+?
ánssolaš	ansiokas	+?	+?
ánsu	ansio	N	N
