siktajáffut	sihtijauhot	Npl	Npl
gaŋggo-	suora (erit. hännästä)	N	N
riehpogállis	repolainen	N	N
ruovtto-	takaperoinen& perätilassa oleva	A	A
vuorddáhus-	jota on jouduttu kauan odottamaan	N	N
guđoldat-	jälkijättöinen	A	A
rihcu-	alaston	A	A
vinju-	vino	A	A
beaskká-	keritty	A	A
silát	silavaljaat	Npl	Npl
ristejaččat	ristiäiset	Npl	Npl
dearbastihkka	heiluri	N	N
harcabáddi	hirttoköysi	N	N
harcamuorra	hirsipuu	N	N
hálbma	olki	N	N
lovttačáhci	liotusvesi (karvojen irrottamiseksi taljasta)	N	N
čiehččalogi	seitsemänkymmentä	Num	Num
skáđadivri	tuhoeläin	N	N
rihccecuoppu	sammakko	N	N
gordesuoidni	korte	N	N
gákcilogi	kahdeksankymmentä	Num	Num
cagganávnnas	vasta-aine	N	N
cirgenkanála	purkautumisväylä tulivuoressa	N	N
bivdinvuohki	pyyntitapa	N	N
časkinbárru	iskuaalto	N	N
dálkunlášmmodahtti	lääkintävoimistelija	N	N
čuožžunčuovggat 	seisontavalot	Npl	Npl
riemut	juhlat	Npl	Npl
goađelutolmmoš	kodalla oleva kotimies	N	N
gávllubealli	ajoporon vasen puoli	N	N
urkádeahkki	poron hauislihas	N	N
gárremaččain	hiprakassa	Adv	Adv
gárremaččaide	hiprakkaan	Adv	Adv
ráhkkásaččat	rakastavaiset	Npl	Npl
gálojenežat	kälykset& veljesten tai serkusten vaimot keskenään	Npl	Npl
lávežat	ystävykset	Npl	Npl
gaiba	lippa	N	N
siiba	siipi (viikatteessa)	N	N
snuiba	lippa& lippalakki	N	N
eallisilba	elohopea	N	N
riebansilba	katinkulta	N	N
rimba	vatsanturpoama (karitsoilla)	N	N
advearba	adverbi	N	N
nuba	niinpä	Pcle	Pcle
arába	arabi	N	N
čába	kaunis	A	A
cahca	kapea) kannas& poikkipuu (reen kopassa tai tavara-ahkiossa)	N	N
joahca	jymy	N	A
čahca	sola (korkealla kahden vaaran välissä)& paju (reessä)	N	N
cihca	polttiainen	N	N
rihca	rääpäle& (pieni) hilla	N	N
jukca	velli	N	N
loahppelákca	kermaviili	N	N
nákca	kyky	N	N
gulca	puukonnysä	N	N
almmivierca	taivaanvuohi	N	N
nuortaliidda	jonkin verran idemmäs& (R) jonkin verran pohjoisemmas	Adv	Adv
veastaliidda	jonkin verran lännemmäs	Adv	Adv
dobbeliidda	jonkin verran) sinnemmäs	Adv	Adv
duobbeliidda	jonkin verran tuonnemmas	Adv	Adv
máddeliidda	jonkin verran etelämmäs	Adv	Adv
oarjeliidda	jonkin verran lännemmäs& (R) jonkin verran etelämmäs	Adv	Adv
fávleliidda	jonkin verran ulommas rannasta	Adv	Adv
dálveliidda	jonkin verran talvemmas	Adv	Adv
davveliidda	jonkin verran pohjoisemmas& (R) jonkin verran lännemmäs& jonkin verran ulommas (vuonossa tai ulapalla)	Adv	Adv
buoidda	kärppä	N	N
dáidda	taide	N	N
váidda	valitus	N	N
gieldda	kielto	N	N
bindda	heittiö& pinne	N	N
boardda	portaat	N	N
sirdda	siirtymämatka (jutamamatkalla)	N	N
gudda	hyöty	N	N
rudda	monista erilaisista aineksista laitettu ruoka& mauste	N	N
deavdda	täyte	N	N
gavdda	riite	N	N
skavdda	riite	N	N
bivdda	pyyntö	N	N
duvdda	tuki& rajoitin	N	N
čuvdda	löyhkäävä (erit. porohirvaasta rykimäajan jälkeen)& löyhkä	A	A
hávdda	haude	N	N
fádda	raaka (mastossa)	N	N
ládda	panos	N	N
sneaida	pala (kalasta poikittain leikattu)& (maa)kaistale	N	N
dioksiida	dioksidi	N	N
tiida	taika& taikausko	N	N
skáida	kaide (kangaspuissa)& linkku	N	N
muolda	multa	N	N
ruovdečuolda	ruostesuoni (tahkossa)	N	N
bálda	vieri	N	N
vuorda	vahva) suolaliemi	N	N
vuovda	rinta- ja vatsa)ontelo	N	N
buvda	kauppa	N	N
krámbuvda	kauppaliike	N	N
spihtáldávda	spitaali	N	N
logahasdávda	lievä) tartuntatauti	N	N
fiskesdávda	keltatauti	N	N
guskkádávda	tyrä	N	N
hávda	haahka	N	N
lávda	lippu	Adv|N	N
rávda	lupikka	N	N
brigáda	prikaati	N	N
balláda	balladi	N	N
biffa	pihvi	N	N
romfa	valtti (korttipelissä)	N	N
skárfa	merimetso	N	N
fággálaga	sylipainissa keskenään	Adv	Adv
guhkkálaga	kaukana toisistaan	Adv	Adv
obbanaga	kokonaisena	Adv	Adv
dáhtanaga	juuri tämä	Adv	Adv
varasnaga	tuoreeltaan	Adv	Adv
dalánaga	heti	Adv	Adv
dálánaga	heti	Adv	Adv
dainnánaga	juuri) niillä seuduin	Adv	Adv
otnánaga	juuri tänään	Adv	Adv
diesánaga	siihen paikkaan (lähelle puhuteltavaa)	Adv	Adv
taga	ilman	Adv	Adv
njulgestaga	suorastaan& suoraan (kääntymättä tai pysähtymättä)	Adv	Pcle
dađistaga	sitä mukaa& vähitellen	Adv	Adv
ceagga	itsepäisyys	N	N
treagga	harkki& naara	N	N
áhpebiegga	merituuli	N	N
áigga	aikomus	N	N
álgga	aloite	N	N
skuogga	hetula	N	N
luogga	luokki	N	N
čeargga	kinos	N	N
cugga	jolla on pienet ja luisevat kasvot	N	N
skugga	loukko	N	N
brugga	laiturivarasto	N	N
joavgga	nietos (suojaisessa paikassa)	N	N
flágga	lippu	N	N
oalga	olki	N	N
boalga	häpeäpilkku (ihmisestä)	N	N
mielga	rintalasta (lihoineen)	N	N
guolga	karva	N	N
čolga	sylki	N	N
tálga	tali	N	N
válga	uittosalko	N	N
válga	vaalit	N	N
arkeologa	arkeologi	N	N
biologa	biologi	N	N
dearga	törky	N	N
Norga	Norja	N	N
guorga	kurki	N	N
hávga	hauki	N	N
hága	haka (aitaus)	A|N	N
buođga	nivus	N	N
streaŋga	metallilanka	A|N	N
riŋga	uuninrengas	N	N
betoŋga	betoni	N	N
diftoŋga	diftongi	N	N
fáŋga	vanki	N	N
gáŋga	kanki	N	N
Belgia	Belgia	N	N
Austrália	Australia	N	N
Albánia	Albania	N	N
Bulgária	Bulgaria	N	N
Ásia	Aasia	N	N
veaja	vastapaino	N	N
meaddja	avaimen) haitta	N	N
guodja	saraheinän) käpy	N	N
sudja	syy	N	N
váidnahádja	kalmanhaju	N	N
skádja	kaiku (erit. huoneessa)	N	N
analogiija	analogia	N	N
arkeologiija	arkeologia	N	N
antologiija	antologia	N	N
anemiija	anemia	N	N
anatomiija	anatomia	N	N
boija	poiju	N	N
buovjja	maitovalas	N	N
knállja	nalli	N	N
šállja	raita (bot.)	N	N
njoavdnja	pikkunieriä	N	N
njivdnja	täinmunat	N	N
