addit – attán   antaa
ahkásaš   ikäinen
ahte   että
ain   yhä
aitto   nyt, -pa, -pä, -han, -hän
ala   päälle
albma   oikea, aito, kunnon
albmi – almmi   taivas
alde   päällä, -ltä
ale   älä (kieltoverbin yks2p imperatiivi)
alit – aliha, # =   sininen
allat – allaga, #alla   korkea
allergiija – allergiija   allergia
almmái – albmá   mies
amas – apmasa, # =   vieras, outo 
amma nu?   eikö niin?
Anár – Anára   Inari
asehaš – asehačča, #asehis   ohut (litteistä esineistä)
aski – askki   syli
as'sái – as'sá, #as'sás   paksu (litteistä esineistä)
astat – asttan   ehtiä, joutaa
áddet – ádden   ymmärtää
áddjá – ádjá   isoisä
áhčči – áhči   isä
áhkku – áhku   isoäiti
áibbas   aivan
áidi – áiddi   aita
áidna   ainoa
áigá   kauan sitten
áigi – áiggi   aika
áigut – áiggun   aikoa
áiti – áitti   aitta
ákšu – ákšu   kirves
álddagas – álddagasa   salama
áldu – álddu   vaadin
álggos   aluksi, ensin
álgit – álggán   alkaa
álki – álki, #álkis   helppo
álo   aina
ámbulansa – ámbulanssa   ambulanssi
árrat   aikaisin
árrat – árrada, #árra   varhainen
ártet – ártega, #ártegis   erikoinen, outo
ássat – ásan   asua
ástmá – ástmmá   astma
ášši – ášši   asia (astevaihteluton!)
áŧestit – *áŧestan   ahdistaa
ávki – ávkki   hyöty
badjánit – badjánan   kohota
badjedilli – badjedili    paimentolaisporonhoito
badjel   yli
badjeolmmoš   poronhoitaja
bahá – bahá, #bahás   paha; vihainen (koira)
bahča – bahččaga, # =   pahanmakuinen, karvas
baicce   sen sijaan
bajábealde   yläpuolella
bajil   päällepäin
bajimus – bajimusa   ylin, ylimmäinen
ballat – balan (+ lok.)   pelätä jtak
bargat – barggan   työskennellä, tehdä (työtä tms.); pyrkiä
bargobáiki   työpaikka
bargu – barggu   työ
bassat – basan   pestä
bastil – bastila, #bastilis   terävä
-bat   -kos, -kös (kysyvä liitepartikkeli)
batnit – banán   kehrätä
bábir – báhpára   paperi
báddi – bátti   naru, nauha
bádji – báji   paja
báhcit – bázán   jäädä
báhkka – báhka   paketti
báhkket – báhkken   pakata, paketoida
báidi – báiddi   paita
báiki – báikki   paikka
báitit – *báittán   paistaa (auringosta)
bálddas   vieressä, -stä
bálddis – báldá   pallas
báldii   viereen
bálggis – bálgá   polku
bálkestit – bálkestan   heittää, viskata
bárdni – bártni   poika, nuori mies
bárgut – bárggun   parkua; huutaa (lokeista tms.)
bárru – báru   aalto
bátni – báni   hammas
bávččas – bákčasa   kipu; kipeä
beaivi – beaivvi   päivä; aurinko
beaivit   päivällä; päivisin
beakkán – beakkána, #beakkánis   kuuluisa
beal   puoli (kellonaikaa ilmaistaessa)
bealde   puolella, -lta
beallai   puolelle
bealli – beali   puoli
beallji – bealji   korva
beana – beatnaga   koira
bean'na – beanna   kynä
beannot   puolitoista
beaŋka – beaŋkka   penkki
bearaš – bearraša   perhe
bearjadat – bearjadaga   perjantai
beassat – beasan   päästä
beas'si – beassi   tuohi
beavdi – beavddi   pöytä
ben'ne – benne   penni
bensiidna – bensiinna   bensiini
beroštit – beroštan   välittää
bidjat – bijan   laittaa, panna
biđget – biđgen   rikkoa, hajottaa
biđus – biđđosa   poronkäristys
biebmu – biepmu   ruoka
biel'lu – biellu   (soiva) kello
biergu – bierggu   liha
bihttá – bihtá   pala, palanen
Biret–Iŋgá – -Iŋggá   naisen nimi
birra   ympäri(-llä,-ltä); jstak asiasta, jtak koskien
bivttas – biktasa   vaate
bivval – bivvala, #bivvalis   lauha
boađus – bohtosa   tulos
boagán – boahkána   vyö
boagustit – boagustan   nauraa
boahtte   seuraava, ensi (ajan ilmauksissa)
boaris – boarrása, #boares   vanha
boasta – boastta   posti
boazoalmmái   poromies
boazoolmmoš   poronhoitaja
boazu – bohcco   poro
bodni – botni   pohja; (harv.) alakerta
boradit – boradan   syödä (ateria)
borgemánnu – -mánu   elokuu   
borramuš – borramuša   ruoka
borranmiella   ruokahalu
borrat – boran   syödä
borvet – borven   pöyhiä, penkoa
botnjat – bonjan   vääntää
bovdna – bovnna   (iso) mätäs
buhtis – buhttása, #buhtes   puhdas
buktit – buvttán   tuoda
bumpet – bumpen   pumpata
buohcat – buozan   sairastaa
buohcceviessu   sairaala
buohcci – buohcci   potilas
buohkat (mon.)   kaikki (ihmisistä)
buoidi – buoiddi, #buoiddes   lihava; (subst.) kiinteä rasva, läski
buolaš – buollaša   pakkanen
buollit – buolán   palaa
buorre – buori, # =   hyvä
buot   kaikki; (superlatiivin yhteydessä) kaikkein
buozus   sairaana
bures   hyvin
bures boahtin   tervetuloa
busir – busira   pusero
bus'sá – bussá   kissa
buvri – buvrri   kömmänä, puura
buvssat (mon.)   housut
ceaggát – ceaggán   olla pystyssä, törröttää
ciellat – *cielan   haukkua (koirasta)
coahki – coagi, #coages   matala (vedestä)
coggat – cokkan   sujauttaa, panna jhkin; pukea (vaate); tunkea
cubborássi   korte
cuoŋománnu – -mánu   huhtikuu
cuoppu – cubbo   sammakko
čađa   läpi
čaibmat – čaimman   nauraa
čakča – čavčča   syksy
čakčamánnu – -mánu   syyskuu
čakčat   syksyllä; syksyisin
čalbmi – čalmmi   silmä
čatnat – čanan   sitoa
čábbát   kauniisti
čáhci – čázi   vesi
čáhppat – čáhppada, #čáhppes   musta
čáhppesmuorji   variksenmarja
čáihni – čáihnni   pisama
čájehit – čájehan   näyttää
čákŋat – čáŋan   kömpiä (jostain läpi, sisään), mennä sisään (esim. pienestä oviaukosta)
čála – čállaga   kirjoitus   
čál'li – čál'li   sihteeri
čállit – čálán   kirjoittaa
čáppis – čábbá, #čáppa   kaunis
čárvet – čárven   puristaa (kerran)
čárvut – čárvvun   puristaa, puristella
čeabi – čeahpáha   kaula
čeahci – čeazi   setä (isää nuorempi)
čeahppi – čeahpi, #čeahpes   taitava
čiegus – čihkosa, # =   salainen, kätketty
čielggas – čielgasa, #čielga   selvä   
čieŋal – čiekŋala, #čiekŋalis   syvä
čierostuddat – čierostuttan   tehdä itkua
čierrut – čierun   itkeä
čieža – čieža   seitsemän
čihččet – čihččeda   seitsemäs
čikŋa – čiŋa   koriste, koriste-esine
čiŋadit – čiŋadan   koristautua
čoaggit – čoakkán   kerätä
čoalli – čoali   suoli
čoavji – čoavjji   vatsa, maha
čogas – čohkasa, #čohka   terävä (päästä, kärjestä, ei reunasta)
čohkánit – čohkánan   istuutua
čohkkát – čohkkán   istua
čuoččastit – čuoččastan   nousta seisomaan
čuoččat   seisaalla
čuodjat – *čuojan   soida
čuođát – čuođáda   sadas
čuođi – čuođi   sata
čuohppat – čuohpan   leikata
čuoigat – čuoiggan   hiihtää
čuorbi – čuorbbi, #čuorbbes   taitamaton, tunari
čuorpmas – čuorbmasa   (jää)rae   
čuorvut – čuorvvun   huutaa
čuovvut – čuovun   seurata
čuožžut – čuoččun   seistä
čurvet – čurven   huutaa (kerran)
dadjat – dajan   sanoa
dahkat – dagan   tehdä
dakkár – dakkára   sellainen
dalán   heti
dalle   silloin
dan vuoro   sillä kertaa, sillä erää
danin   siksi
danin go   siksi että, siksi koska
daŋas – dakŋasa   varpu
das'sá   ... sitten, siitä asti (ajan ilmauksissa)
dat – dan   se; (puhek.) hän
datte   silti, siitä huolimatta
davás   pohjoiseen
dá   tässä
dábálaččat   tavallisesti
dábálaš – dábálačča, # =   tavallinen
dáfus   jkun suhteen, jssak suhteessa
dáhttut – dáhtun   tahtoa, haluta
dáidit – dáiddán   taitaa
dál   nyt
dálá   nykyinen, tämänhetkinen
dálki – dálkki   sää
dálkkas – dálkasa   lääke
dállu – dálu   talo
dálostallat – dálostalan   asua, pitää taloa
dáŋket – dáŋken   tankata
dáppe   täällä
dárbbašit – dárbbašan   tarvita
dárkilit   tarkasti
dát – dán   tämä
dávda – dávdda   tauti
dávjá   usein
dávvir – dávvira   tavara
Dáža – Dáža   Norja
dáža – dáža   norjalainen (ihminen)
de   kyllä (vahvistava myönt. partikkeli)
deadja – deaja   tee
deaivat – deaivvan   tavata, kohdata; osua; sattua, tapahtua sattumalta
dearbmi – dearpmi   törmä
dearvvahallat – dearvvahalan   tervehtiä (toisiaan)
dearvvas – dearvasa, # =   terve
Deatnu – Deanu   Teno (joennimi)
deattán – deattána   painajainen
dehálaš – dehálačča, # =   tärkeä
deike   tänne
dieđusge   tietysti, tietenkin
diehppi – diehpi   tupsu
diehtit – dieđán   tietää
dieppe   siellä (missä sinä olet)
diet – dien   se (joka on sinulla)
dievas – dievvasa, # =   täysi
dihto   tietty
dihtor – dihtora   tietokone
dii – din   te (ei kahdesta)
diibmá   viime vuonna
diibmu – diimmu   kello
dikšut – divššun   hoitaa
dilli   (olo)tila
dimis – dipmása, #dipma   pehmeä
diŋga – diŋgga   esine
divrras – divrasa, # =   kallis
doaččis – doažžása, #doaččes   hiljaa virtaava (vedestä, joesta)
doahput – doabun   tarttua (useisiin esineisiin), ottaa kiinni (useita)
doai – dudno   te (kaksi)
doallat – doalan   pitää (kiinni tms.)
doalvut – doalvvun   viedä
doapmat – doaman   kiiruhtaa
doarggistit – doarggistan   täristä, väristä
doarvái   tarpeeksi
doavttir – doaktára   lääkäri
dohko   sinne
dohppet – dohppen    tarttua (kerran), ottaa kiinni (yksi)
doidit – doiddán   huuhtoa
dolastallat – dolastalan   pitää nuotiota
dolin   muinoin
dolla – dola   tuli
dol'let – dol'len   tarttua kiinni; suunnata, lähteä jhkin suuntaan
dološ – doloža, # =   muinainen
don – du   sinä
doppe   siellä
dorski – dorskki   turska
dot – don   tuo (tuolla etäällä)
dovdat – dovddat   tuntea
duđavaš, # =   tyytyväinen
duhtat – duđan   tyytyä
duhtavaš – duhtavačča, # =   tyytyväinen
duodji – duoji   käsityö
duohkái   taakse
duohken   takana, takaa
duohta – duođa, # =   tosi
duol'let dál'le   silloin tällöin
duol'lu – duollu   tulli
duorastat – duorastaga   torstai
duorššas – duoršasa, # =   litteänaamainen, lättänaamainen
duot – duon   tuo (tuolla)
duottar – duoddara   tunturi, tundra, vuoret
dus   sinulla
dušše   vain
duš'ši – dušši   turhuus, joutava asia, tyhjänpäiväisyys
dutkat – dutkkan   tutkia
eadni – eatni   äiti
eahkes   illalla
eahket – eahkeda   ilta
eahki – eagi   setä (isää vanhempi)
eal'li – eal'li   eläin
eallit – ealán   elää
eallu – ealu   (poro)elo, tokka
eambbo   enemmän
eamit – eamida   vaimo
eana – eatnama   maa (ei valtio)
eanu – edno   eno
eará   muu
easkká   äskeinen (vain attrib.)
ehtemas – ehtemasa   juolukka
erenomáš – erenomáža, # =   erityinen
eret   pois
fal   vain  (ei ’only’)
fal'lehit – fal'lehan   hyökätä
falli – fali, #falis   nopea
fanas – fatnasa   vene
fargga   kohta, pian; nopeasti
fas   taas; puolestaan
fasti – fastti, #fasttes   huono (ilma); iljettävä, hyvin ruma
fálaldat – fálaldaga   tarjous
fális – fál'lá   valas
fállat – fálan   tarjota
fápmu – fámu   voima
fárta – fártta   vauhti
fáruhit – fáruhan   varoa
fárus   mukana
feaskkir – feaskára   eteinen
feber – febera   kuume
fertet – ferten   täytyä (olla pakko)
fierbmi – fierpmi   verkko
figgat – fikkan   pyrkiä
fiilu – fiillu   viila
fioleahtta – fioleahta, # =   violetti
fiskat – fiskada, #fiskes   keltainen
fitnat – finan   käydä
funet   huonosti
fuolla – fuola   huoli
fuotni – fuoni, #fuones   huono
gahččat – gahčan   pudota
gaikut – gaikkun   kiskoa, repiä
gal   kyllä (vahvistava myönt. partikkeli)
galgat – galggan   täytyä
gal'le – galli   montako
gal'lestallat – gal'lestalan  (+ obj.!)   vierailla, käydä kylässä
galmmas – galbmasa, #galbma   kylmä
garas – garrasa, #garra   kova
garrasit   kovasti, kovaa
garvit – garvván   kiertää
gaskavahkku – gaskavahku   keskiviikko
gaskii   väliin
gaskkas   välissä, -stä
gassat – gassaga, #gassa   paksu (ei litteistä esineistä)
gavjjat (mon.)   pöly
gáddi – gátti   ranta
gáddit – gáttán   luulla
gádjut – gájun   pelastaa
gáfestallat – gáfestalan   juoda kahvia
gáffe – gáfe   kahvi
gáhkku – gáhku   kakku
gáhttu – gáhtu   katto
gákti – gávtti   lapintakki
gálbi – gálbbi   vasikka
gálvu – gálvvu   tavara
gáma – gápmaga   kenkä
gámmir – gámmira   makuuhuone
gánda – gándda   poika
gárdi – gárddi   aitaus, erit. poroaita
gártat – gárttan   joutua
gárvvis – gárvása, #gárvves   valmis
gárži – gáržži, #gáržžes   kapea
gáskkestit – gáskkestan   puraista
gávccát – gávccáda   kahdeksas
gávcci – gávcci   kahdeksan
gávdnat – gávnnan   löytää
gávdnot – gávdnon   löytyä
gávnnit (mon.)   vuodevaatteet
gávpegas – gávpegasa   kauppias
gávpi – gávppi   kauppa
gávpot – gávpoga   kaupunki
gávppašit – gávppašan   käydä kauppaa; käydä ostoksilla
gázzi – gácci   seurue; perhekunta; porukka
-ge   -kin
geađgi – geađggi   kivi
geahčadit – geahčadan   katsella (ympärilleen tms.)
geahčai   luo, luokse (kotiin)
geahččat – geahčan   katsoa, katsella
geahčen   luona (kotona), luota (kotoa)
geahči – geaži   kärki, pää (’end’)
geaidnu – geainnu   tie
geardi – gearddi   kerta
geargat – gearggan   ehtiä (ajoissa); saada valmiiksi, keretä (työstä tms.)
geassemánnu – -mánu   kesäkuu
geassi – geasi   kesä
geassit   kesällä; kesäisin
geassit – geasán   vetää
geasuhit – geasuhan   houkutella
geavŋŋis – geavgŋá   suuri koski, köngäs
geažes   kuluttua (ajasta)
-ges   puolestaan, vuorostaan
giđđat   keväällä; keväisin
gieddi – gietti   kenttä
gielda – gieldda   kunta
gielis – giellása   vale   
gielká – gielkká   kelkka
gierdavaš – gierdavačča, # =   kärsivällinen
gieskat   hiljattain, vähän aikaa sitten
gievdni – gievnni   ämpäri; (kahvi)pannu
gievkkan – gievkkana   keittiö
gievra – gievrra, #gievrras   vahva
gii – gean   kuka
giitu   kiitos
gilli – gili   kylä
girdnu – girtnu   kirnu
girjái – girjá, #girjás   kirjava
girji – girjji   kirja
gitta   kiinni; jhkin saakka
-go   -ko, -kö (kysyvä liitepartikkeli)
go   kun; kuin
goabbá – goappá   kumpi
goahti – goađi   kota
goallut – goalun   palella
goalmmát – goalmmáda   kolmas
goarrunmašiidna   ompelukone
goarrut – goarun   ommella
goas   koska, milloin
goaski ¬– goaskki   täti (äitiä vanhempi)
goaskin – goaskima   kotka   
gobmi – gopmi   kummitus
gohppa – gohpa   kuppi
gohttá – gohtá   leivos, viineri
goikkis – goikása, #goike-   kuiva
goit   kuitenkin; ainakin
goittotge   kuitenkin; ainakin
gokčat – govččan   peittää; sulkea (ikkuna, ovi tms.)
gokko   missä kohden, missä (täsmälleen)
golbma – golmma   kolme
golgat – *golggan   valua, vuotaa
golggotmánnu – -mánu   lokakuu
gollat – *golan   kulua (ajasta, rahasta, yms.)
gol'li – golli   kulta
gonagas – gonagasa   kuningas
gopmánit – gopmánan   kaatua kumoon, ylösalaisin
gorostat – gorostaga   ommel, ompelulanka
gorut – goruda   vartalo   
gos   missä, -stä
govččas – gokčasa   peitto, peite
govdat – govdaga, #govda   leveä
guđát – guđáda   kuudes
guhká   kauan
guhkki – guhki, #guhkes   pitkä
guhkkin   kaukana
guhtta – guđa   kuusi
guktot – guktuid (mon.)   molemmat
guldalit – guldalan   kuunnella
gullat – gulan   kuulla
gul'lot – gul'lon   kuulua
gulul   hiljaa, hitaasti
guohca – guohccaga, # =   mätä, pilaantunut
guoibmi – guoimmi   puoliso; avopuoliso; kumppani
guokte – guovtti   kaksi
guolli – guoli   kala
-guoras   ääressä, -stä, laidassa, -sta
guorus – gurrosa, #guoros   tyhjä
guos'si – guossi   vieras
guovddáš – guovddáža   keskus
guovdu   keskellä
guovlalit – guovlalan   vilkaista, kurkistaa
guovlat – guovllan   kurkata, kurkistaa
guovttá   kahden, kahdestaan
guovtte beale   kahta puolta
guovvamánnu – -mánu   helmikuu
gurput – gurppun   kantaa
-gurrii   ääreen, laitaan
gurut – guruha, # =   vasen
gussa – gusa   lehmä
gusto   näköjään
-han   -han, -hän
hálbi – hálbbi, #hálbbes   halpa
háleštit – háleštan   jutella
hálidit – hálidan   haluta
hállat – hálan   puhua
hárve   harvoin
hávil   kerralla, yhdellä kertaa
hávvi – hávi   haava
headju – heaju, #heajos   heikko, huono
Heahttá – Heahtá   Hetta (paikannimi)
Heandarat   miehen nimi (Henrikki)
heargi – hearggi   porohärkä
hearvái – hearvá, #hearvás   huvittava
heasta – heastta   hevonen
heittot – heittoga, #heittogis   heikko, huono
hildu – hildu   hylly
hirbmat – hirbmada, # =   hirveä, hirmuinen
hirsa – hirssa   hirsi
hivsset – hivssega   vessa
hoavda – hoavdda   johtaja
holga – holgga   vave, poikkipuu (verkkojen kuivaamiseen tms.)
hui   hyvin, erittäin, varsin
huikit – huikkán   huutaa
huikkádit – huikkádan   huudahtaa
hukset – huksen   rakentaa (talo, rakennus)
idja – ija   yö
iđ'đes   aamulla
